kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
114	KEPONG	72696	3050	64532	4435	678	398	280	3371	77	64532	4715	3053	18	12	7	64532	5073
115	BATU	76328	31776	29207	13568	1777	702	1075	32067	411	29207	14643	31824	214	85	14	29207	14984
116	WANGSA MAJU	88482	51938	26152	7518	2874	1084	1790	52307	715	26152	9308	52012	295	163	18	26152	9842
117	SEGAMBUT	77956	20720	45906	9341	1987	290	1697	20835	175	45906	11038	20756	46	28	14	45906	11204
118	SETIAWANGSA	72136	43577	18654	7687	2215	1494	721	43674	1397	18654	8408	43683	447	252	29	18654	9068
119	TITIWANGSA	61598	42235	10629	5999	2734	638	2096	42531	342	10629	8095	42294	114	67	16	10629	8477
120	BUKIT BINTANG	69526	8385	52214	7777	1150	621	529	8660	346	52214	8306	8426	106	72	17	52214	8691
121	LEMBAH PANTAI	80346	49036	15161	13263	2883	1318	1565	49397	957	15161	14828	49173	229	112	28	15161	15640
122	SEPUTEH	86256	7598	70745	6859	1053	333	720	7772	159	70745	7579	7613	36	26	5	70745	7830
123	CHERAS	78819	7441	65359	5373	645	302	343	7602	141	65359	5716	7455	26	17	5	65359	5956
124	BANDAR TUN RAZAK	83650	50570	24345	7127	1607	961	646	50902	629	24345	7773	50629	277	146	12	24345	8240
