kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KG SIREH BAWAH LEMBAH	3131	2918	159	39	15	3	12	2909	12	159	51	2918	1			159	53
2	WAKAF SIKU	1421	954	442	19	6	1	5	949	6	442	24	954				442	25
3	JALAN RAJA DEWA	2126	1876	187	41	22	3	19	1875	4	187	60	1876				187	63
4	TELIPOT	2383	2070	261	36	16	5	11	2068	7	261	47	2070	1			261	51
5	KAMPUNG BELUKAR	2181	2159	10	5	7	4	3	2153	10	10	8	2160		1		10	10
6	BUNUT PAYONG HILIR	2198	2053	135	2	8	4	4	2046	11	135	6	2054	1			135	8
7	PINTU GENG	4435	4414	9	3	9	3	6	4406	11	9	9	4414				9	12
8	KOTA UTARA	2304	2291	5	3	5	1	4	2288	4	5	7	2291				5	8
9	LUNDANG	3485	3392	69	13	11	3	8	3390	5	69	21	3393	1			69	22
10	BUNUT PAYONG	2625	2568	50	2	5		5	2566	2	50	7	2568				50	7
11	KAMPUNG WAKAF CHE YEH	2148	2085	52	3	8	2	6	2082	5	52	9	2085	1	1		52	9
