kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	BKT LARANG	235	165	64		6		6	165		64	6	165				64	6
2	SEK. HENRY GURNEY	210	199	3	5	3		3	199		3	8	199				3	8
3	TELOK MAS BAROH	72	72			0			72				72					
4	KG BKT META	449	430	11	6	2		2	429	1	11	8	430				11	8
5	KG TAMBAK BUGIS	473	442	21	5	5		5	441	1	21	10	442				21	10
6	SLK TENGAH	102	87	13	1	1		1	87		13	2	87				13	2
7	TELOK MAS	413	333	76	3	1		1	331	2	76	4	333				76	4
8	JLN RAJA HAJI	339	333	4	1	1		1	333		4	2	333				4	2
9	JLN DAING TAWI	231	226	1		4	2	2	228		1	2	228				1	2
10	JLN PENGHULU	91	91			0			91				91					
11	JLN PANTAI	120	120			0			120				120					
12	JLN LAMA	66	64	2		0			64		2		64				2	
13	KG GELAM	18	18			0			18				18					
14	TMN EMAS	303	261	27	12	3	1	2	262		27	14	261	1			27	14
15	QRS SEK MEN SY RODZIAH	8	8			0			8				8					
16	JLN DAING MELOR	10	10			0			10				10					
17	TMN BUKIT LARANG INDAH	220	186	14	12	8	1	7	187		14	19	187				14	19
18	KG.TERSUSUN BKT LARANG	71	70			1	1		71				71					
801	PENGUNDI TIDAK HADIR	1	1			0			1				1					
