kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	JOHOR	1817999	980188	682813	121467	33422	17080	16342	985289	11977	682813	137811	981031	4561	1264	221	682813	148000
2	KEDAH	1146492	889004	164130	75097	18254	3839	14415	887856	4987	164130	89512	889263	513	322	32	164130	92225
3	KELANTAN	1049527	994092	35191	3067	17127	8783	8344	993969	8906	35191	11411	994250	500	261	40	35191	19235
4	MELAKA	494662	298737	154391	31810	9715	4538	5177	300150	3125	154391	36987	298997	1101	498	90	154391	39576
5	NEGERI SEMBILAN	607793	331574	174322	88519	13374	9531	3843	332412	8692	174322	92363	331877	1147	573	90	174322	99780
6	PAHANG	823981	584839	160946	37209	40977	35109	5868	588000	31947	160946	43078	585052	899	444	68	160946	76562
7	PULAU PINANG	945627	342320	488665	109074	5561	2023	3538	342640	1703	488665	112612	342451	364	219	47	488665	113874
8	PERAK	1510864	761853	536177	174745	38074	31636	6438	770263	23223	536177	181186	762263	1525	644	128	536177	210112
9	PERLIS	150221	127629	16117	2196	4279	1069	3210	127512	1186	16117	5406	127684	229	113	11	16117	6067
10	SELANGOR	2415074	1231084	786411	338480	59077	23935	35142	1240865	14154	786411	373622	1232361	2389	1172	350	786411	392369
11	TERENGGANU	736632	707630	23110	1768	4122	1571	2551	707114	2087	23110	4319	707790	275	76	28	23110	5351
12	SABAH	1117337	152886	171470	4034	788917	743543	45374	556294	340134	171470	49409	153612	6556	832	978	171470	783859
13	SARAWAK	1220960	348063	372620		500256	497253	3003	348816	496461	372620	3042	348065	351453	96090	49698	372620	3013
14	W.P KUALA LUMPUR	847793	316326	422904	88947	19603	8141	11462	319118	5349	422904	100409	316918	1808	980	165	422904	105005
15	W.P LABUAN	28356	9825	5827	420	12284	11267	1017	19314	1778	5827	1437	9938	240	69	104	5827	12178
16	W.P PUTRAJAYA	27306	25557	230	891	628	455	173	25912	100	230	1064	25609	52	19	15	230	1381
